serviceTypeCode,item_itemCode,name
ST-CT01-01,MI-CT-01,Contrast Enhanced
ST-CT01-02,MI-CT-01,Non-Contrast
ST-CT02-01,MI-CT-02,Non-Contrast
ST-CT02-02,MI-CT-02,With Oral Contrast
ST-CT03-01,MI-CT-03,Non-Contrast
ST-CT03-02,MI-CT-03,CT Angiography
ST-CT04-01,MI-CT-04,Standard
ST-CT04-02,MI-CT-04,Myelography
ST-MRI01-01,MI-MRI-01,With Contrast
ST-MRI01-02,MI-MRI-01,Without Contrast
ST-MRI01-03,MI-MRI-01,Functional MRI
ST-MRI02-01,MI-MRI-02,Standard
ST-MRI02-02,MI-MRI-02,With Contrast
ST-MRI03-01,MI-MRI-03,Standard
ST-MRI03-02,MI-MRI-03,With Contrast
ST-MRI04-01,MI-MRI-04,With Contrast
ST-MRI04-02,MI-MRI-04,Dynamic
ST-XR01-01,MI-XR-01,PA View
ST-XR01-02,MI-XR-01,Lateral View
ST-XR02-01,MI-XR-02,AP View
ST-XR02-02,MI-XR-02,Lateral View
ST-XR02-03,MI-XR-02,Weight-bearing
ST-XR03-01,MI-XR-03,AP View
ST-XR03-02,MI-XR-03,Oblique View
ST-US01-01,MI-US-01,2D Standard
ST-US01-02,MI-US-01,Color Doppler
ST-US02-01,MI-US-02,Transabdominal
ST-US02-02,MI-US-02,Transvaginal
ST-US03-01,MI-US-03,Standard
ST-US03-02,MI-US-03,Elastography
